logged_at,model_fitted_on,date,home_team,away_team,neutral,player,model_player,team,model_p,book_odds,book,book_p,edge,closing_odds,scored,result
2026-06-25 14:02,2026-06-24,2026-06-25,Curaçao,Ivory Coast,True,Odilon Kossounou,Odilon Kossounou,Ivory Coast,0.0567,11.0,Betfair,0.0909,-0.0342,,0,graded
2026-06-25 14:02,2026-06-24,2026-06-25,Curaçao,Ivory Coast,True,Guela Doue,Guela Doué,Ivory Coast,0.0523,8.8,Betfair,0.1136,-0.0613,,0,graded
2026-06-25 14:02,2026-06-24,2026-06-25,Curaçao,Ivory Coast,True,Ibrahim Sangare,Ibrahim Sangaré,Ivory Coast,0.0808,5.4,Betfair,0.1852,-0.1044,,0,graded
2026-06-25 14:02,2026-06-24,2026-06-25,Curaçao,Ivory Coast,True,Seko Fofana,Seko Fofana,Ivory Coast,0.151,4.6,Betfair,0.2174,-0.0664,,0,graded
2026-06-25 14:02,2026-06-24,2026-06-25,Curaçao,Ivory Coast,True,Amad Diallo,Amad Diallo,Ivory Coast,0.1446,2.46,Betfair,0.4065,-0.2619,,0,graded
2026-06-25 14:02,2026-06-24,2026-06-25,Curaçao,Ivory Coast,True,Evann Guessand,Evann Guessand,Ivory Coast,0.2089,2.52,Betfair,0.3968,-0.188,,0,graded
2026-06-25 14:02,2026-06-24,2026-06-25,Curaçao,Ivory Coast,True,Yan Diomande,Yan Diomandé,Ivory Coast,0.3789,2.9,Betfair,0.3448,0.0341,,0,graded
2026-06-25 14:02,2026-06-24,2026-06-25,Curaçao,Ivory Coast,True,Nicolas Pepe,Nicolas Pépé,Ivory Coast,0.3764,2.72,Betfair,0.3676,0.0088,,1,graded
2026-06-25 14:02,2026-06-24,2026-06-25,Curaçao,Ivory Coast,True,Emmanuel Agbadou,Emmanuel Agbadou,Ivory Coast,0.0829,9.6,Betfair,0.1042,-0.0213,,0,graded
2026-06-25 14:02,2026-06-24,2026-06-25,Curaçao,Ivory Coast,True,Sepe Elye Wahi,Elye Wahi,Ivory Coast,0.3288,2.3,Betfair,0.4348,-0.106,,0,graded
2026-06-25 14:02,2026-06-24,2026-06-25,Curaçao,Ivory Coast,True,Simon Adingra,Simon Adingra,Ivory Coast,0.1757,3.05,Betfair,0.3279,-0.1522,,0,graded
2026-06-25 14:02,2026-06-24,2026-06-25,Curaçao,Ivory Coast,True,Bazoumana Toure,Bazoumana Touré,Ivory Coast,0.2071,3.5,Betfair,0.2857,-0.0786,,0,graded
